[E 2026-01-20 22:22:00,704 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:00,746 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:00,791 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:00,876 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:00,938 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,041 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,104 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,146 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,208 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,271 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,314 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,416 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,518 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,560 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,603 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,645 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,728 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,771 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,813 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:22:01,854 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
